country,country_code,year,percentile,adults_above_pct,income_local,ppp_eur_factor_lcu_per_eur,income_eur_ppa,data_quality
España,ES,2024,0,100,0.0,0.869603157043457,0.0,1
España,ES,2024,1,99,7681.200000000001,0.869603157043457,8832.994611145536,1
España,ES,2024,2,98,7781.6,0.869603157043457,8948.449573776245,1
España,ES,2024,3,97,7836.700000000001,0.869603157043457,9011.811809243896,1
España,ES,2024,4,96,7901.3,0.869603157043457,9086.098568068039,1
España,ES,2024,5,95,8011.400000000001,0.869603157043457,9212.708044020641,1
España,ES,2024,6,94,8225.9,0.869603157043457,9459.372281911947,1
España,ES,2024,7,93,8695.300000000001,0.869603157043457,9999.158730705329,1
España,ES,2024,8,92,9346.2,0.869603157043457,10747.661073099047,1
España,ES,2024,9,91,10058.8,0.869603157043457,11567.11531981861,1
España,ES,2024,10,90,10833.0,0.869603157043457,12457.406475881318,1
España,ES,2024,11,89,11590.8,0.869603157043457,13328.83845478124,1
España,ES,2024,12,88,12308.1,0.869603157043457,14153.6974656877,1
España,ES,2024,13,87,13038.7,0.869603157043457,14993.850809293246,1
España,ES,2024,14,86,13782.3,0.869603157043457,15848.95350064978,1
España,ES,2024,15,85,14538.7,0.869603157043457,16718.775549791906,1
España,ES,2024,16,84,15301.0,0.869603157043457,17595.382302913324,1
España,ES,2024,17,83,16068.9,0.869603157043457,18478.42877506594,1
España,ES,2024,18,82,16848.5,0.869603157043457,19374.92966019444,1
España,ES,2024,19,81,17639.6,0.869603157043457,20284.65496833343,1
España,ES,2024,20,80,18231.3,0.869603157043457,20965.080280968803,1
España,ES,2024,21,79,18520.9,0.869603157043457,21298.105750867748,1
España,ES,2024,22,78,18952.3,0.869603157043457,21794.194106235158,1
España,ES,2024,23,77,19598.4,0.869603157043457,22537.176689459284,1
España,ES,2024,24,76,20058.9,0.869603157043457,23066.728584792374,1
España,ES,2024,25,75,20331.4,0.869603157043457,23380.08991264963,1
España,ES,2024,26,74,20479.7,0.869603157043457,23550.627471993597,1
España,ES,2024,27,73,20606.5,0.869603157043457,23696.441110057083,1
España,ES,2024,28,72,20772.4,0.869603157043457,23887.217786356236,1
España,ES,2024,29,71,20838.9,0.869603157043457,23963.689449851678,1
España,ES,2024,30,70,20936.4,0.869603157043457,24075.80955798409,1
España,ES,2024,31,69,21074.3,0.869603157043457,24234.387639127264,1
España,ES,2024,32,68,21170.1,0.869603157043457,24344.552832553778,1
España,ES,2024,33,67,21365.6,0.869603157043457,24569.368023732102,1
España,ES,2024,34,66,21825.9,0.869603157043457,25098.689929099794,1
España,ES,2024,35,65,22303.5,0.869603157043457,25647.905966474566,1
España,ES,2024,36,64,22677.8,0.869603157043457,26078.33218672033,1
España,ES,2024,37,63,23113.5,0.869603157043457,26579.365326343843,1
España,ES,2024,38,62,23396.5,0.869603157043457,26904.801127384588,1
España,ES,2024,39,61,23728.6,0.869603157043457,27286.69946493099,1
España,ES,2024,40,60,24321.3,0.869603157043457,27968.27472739336,1
España,ES,2024,41,59,24894.4,0.869603157043457,28627.310973246553,1
España,ES,2024,42,58,25255.4,0.869603157043457,29042.442860793228,1
España,ES,2024,43,57,25559.6,0.869603157043457,29392.257598166354,1
España,ES,2024,44,56,25775.9,0.869603157043457,29640.99174574626,1
España,ES,2024,45,55,26014.6,0.869603157043457,29915.484769450948,1
España,ES,2024,46,54,26487.2,0.869603157043457,30458.951057690727,1
España,ES,2024,47,53,26917.0,0.869603157043457,30953.19949333494,1
España,ES,2024,48,52,27259.9,0.869603157043457,31347.517289012936,1
España,ES,2024,49,51,27637.8,0.869603157043457,31782.083328635897,1
España,ES,2024,50,50,28158.1,0.869603157043457,32380.402223623532,1
España,ES,2024,51,49,28667.4,0.869603157043457,32966.07167051418,1
España,ES,2024,52,48,29054.9,0.869603157043457,33411.677228476336,1
España,ES,2024,53,47,29494.9,0.869603157043457,33917.65515235594,1
España,ES,2024,54,46,29835.4,0.869603157043457,34309.213068449135,1
España,ES,2024,55,45,30075.0,0.869603157043457,34584.74104699812,1
España,ES,2024,56,44,30301.4,0.869603157043457,34845.08968783072,1
España,ES,2024,57,43,30391.4,0.869603157043457,34948.58517226064,1
España,ES,2024,58,42,30417.8,0.869603157043457,34978.943847693416,1
España,ES,2024,59,41,30598.2,0.869603157043457,35186.394796484055,1
España,ES,2024,60,40,30862.2,0.869603157043457,35489.98155081182,1
España,ES,2024,61,39,31181.7,0.869603157043457,35857.39052053803,1
España,ES,2024,62,38,31694.6,0.869603157043457,36447.19978680587,1
España,ES,2024,63,37,32130.0,0.869603157043457,36947.88794148128,1
España,ES,2024,64,36,32360.7,0.869603157043457,37213.181366569974,1
España,ES,2024,65,35,32588.8,0.869603157043457,37475.48492210847,1
España,ES,2024,66,34,33108.5,0.869603157043457,38073.11384719991,1
España,ES,2024,67,33,33801.7,0.869603157043457,38870.259067275685,1
España,ES,2024,68,32,34433.1,0.869603157043457,39596.33738804292,1
España,ES,2024,69,31,34829.9,0.869603157043457,40052.63747939617,1
España,ES,2024,70,30,35126.5,0.869603157043457,40393.7125980841,1
España,ES,2024,71,29,35586.8,0.869603157043457,40923.034503451796,1
España,ES,2024,72,28,36080.9,0.869603157043457,41491.224712972056,1
España,ES,2024,73,27,36468.6,0.869603157043457,41937.060260899605,1
España,ES,2024,74,26,36902.1,0.869603157043457,42435.56351090372,1
España,ES,2024,75,25,37446.9,0.869603157043457,43062.05617665283,1
España,ES,2024,76,24,37945.4,0.869603157043457,43635.30616541189,1
España,ES,2024,77,23,38461.0,0.869603157043457,44228.220296212625,1
España,ES,2024,78,22,39123.5,0.869603157043457,44990.062056599534,1
España,ES,2024,79,21,39942.8,0.869603157043457,45932.2159498599,1
España,ES,2024,80,20,40626.3,0.869603157043457,46718.206656613795,1
España,ES,2024,81,19,41152.4,0.869603157043457,47323.19526059802,1
España,ES,2024,82,18,41766.10000000001,0.869603157043457,48028.91946942738,1
España,ES,2024,83,17,42479.0,0.869603157043457,48848.71870109503,1
España,ES,2024,84,16,43237.10000000001,0.869603157043457,49720.49566494307,1
España,ES,2024,85,15,43831.4,0.869603157043457,50403.91084712862,1
España,ES,2024,86,14,44316.10000000001,0.869603157043457,50961.291528275106,1
España,ES,2024,87,13,45222.7,0.869603157043457,52003.83604143248,1
España,ES,2024,88,12,46345.7,0.869603157043457,53295.22969715247,1
España,ES,2024,89,11,47890.0,0.869603157043457,55071.097214987196,1
España,ES,2024,90,10,49804.0,0.869603157043457,57272.10118386349,1
España,ES,2024,91,9,51658.0,0.869603157043457,59404.108163119825,1
España,ES,2024,92,8,53843.0,0.869603157043457,61916.74853511288,1
España,ES,2024,93,7,56548.60000000001,0.869603157043457,65028.05278704167,1
España,ES,2024,94,6,60009.2,0.869603157043457,69007.56915835476,1
España,ES,2024,95,5,64631.5,0.869603157043457,74322.98224369274,1
